user_id,age,gender,activity_level,goal,bmi,fitness_experience,has_gym_membership
74,19,female,high,lose_weight,19.8,intermediate,False
75,17,female,medium,gain_muscle,19.4,beginner,False
76,29,female,medium,stay_fit,27.7,beginner,True
77,25,female,medium,lose_weight,24.3,intermediate,True
78,25,male,low,lose_weight,25.4,beginner,True
79,20,male,medium,lose_weight,23.9,beginner,False
80,32,male,medium,stay_fit,24.6,beginner,True
81,42,female,high,gain_muscle,26.1,intermediate,True
82,30,male,high,lose_weight,24.8,advanced,False
83,36,male,medium,stay_fit,22.3,beginner,False
84,50,male,medium,lose_weight,31.0,beginner,False
85,35,male,medium,lose_weight,24.3,beginner,True
86,24,male,low,lose_weight,23.4,beginner,True
87,31,female,medium,lose_weight,23.0,beginner,True
88,31,male,medium,gain_muscle,25.0,advanced,True
89,29,female,high,gain_muscle,23.3,intermediate,False
90,29,male,low,stay_fit,17.9,beginner,False
91,23,male,medium,gain_muscle,23.2,intermediate,False
92,28,female,medium,gain_muscle,20.8,beginner,False
93,45,female,low,gain_muscle,24.8,beginner,False
94,53,male,medium,gain_muscle,23.9,advanced,False
95,17,female,high,lose_weight,22.0,intermediate,False
96,19,male,high,gain_muscle,26.8,intermediate,True
97,45,male,medium,stay_fit,23.8,intermediate,True
98,23,male,low,gain_muscle,22.9,beginner,False
99,18,male,high,gain_muscle,22.9,beginner,False
100,25,male,medium,lose_weight,22.8,beginner,False
101,21,male,medium,stay_fit,25.5,beginner,True
102,55,male,low,stay_fit,21.7,beginner,False
103,32,male,low,stay_fit,24.2,beginner,False
104,52,male,low,lose_weight,22.5,beginner,False
105,30,female,medium,stay_fit,22.1,beginner,True
106,27,male,low,lose_weight,25.4,advanced,False
107,17,male,low,gain_muscle,21.2,intermediate,False
108,30,female,medium,gain_muscle,25.6,intermediate,False
109,26,male,medium,stay_fit,24.9,advanced,False
110,40,male,low,stay_fit,28.0,intermediate,False
111,22,male,low,stay_fit,18.7,beginner,True
112,28,male,low,stay_fit,27.1,beginner,False
113,22,female,medium,gain_muscle,23.1,beginner,False
114,17,female,low,stay_fit,18.6,beginner,True
115,49,male,medium,lose_weight,22.0,intermediate,False
116,16,female,low,gain_muscle,25.5,intermediate,True
117,23,female,low,lose_weight,23.7,beginner,True
118,22,male,medium,stay_fit,28.0,advanced,False
119,41,female,low,stay_fit,23.0,intermediate,False
120,19,male,low,lose_weight,23.9,intermediate,False
121,44,female,medium,gain_muscle,23.4,advanced,True
122,30,female,medium,lose_weight,20.9,advanced,True
123,30,male,medium,lose_weight,23.9,beginner,False
124,34,male,low,gain_muscle,23.3,intermediate,False
125,25,male,high,lose_weight,24.3,advanced,False
126,20,male,high,lose_weight,24.2,advanced,True
127,21,female,medium,gain_muscle,24.0,advanced,False
128,20,female,medium,lose_weight,24.3,intermediate,False
129,26,male,high,gain_muscle,27.3,advanced,True
130,54,male,low,lose_weight,21.1,beginner,True
131,21,male,low,stay_fit,21.8,beginner,True
132,37,male,low,gain_muscle,28.3,beginner,False
133,21,male,high,stay_fit,27.8,intermediate,False
134,40,male,medium,lose_weight,24.8,beginner,False
135,34,female,high,lose_weight,30.1,beginner,False
136,20,male,low,stay_fit,25.5,intermediate,False
137,26,male,high,gain_muscle,29.6,beginner,False
138,32,female,high,lose_weight,28.4,beginner,True
139,32,male,high,stay_fit,28.9,beginner,False
140,19,female,medium,lose_weight,20.6,beginner,False
141,44,female,high,gain_muscle,26.0,beginner,True
142,21,male,high,lose_weight,23.8,beginner,False
143,35,male,medium,lose_weight,20.0,beginner,True
144,27,male,medium,lose_weight,28.0,beginner,False
145,33,male,medium,lose_weight,27.6,beginner,False
146,34,male,medium,gain_muscle,23.6,intermediate,False
147,28,male,medium,stay_fit,22.1,beginner,True
148,32,male,low,stay_fit,24.2,intermediate,True
149,47,male,medium,gain_muscle,18.6,beginner,False
150,17,male,low,lose_weight,20.0,advanced,True
151,19,female,low,stay_fit,23.1,beginner,False
152,32,male,low,gain_muscle,25.8,beginner,True
153,29,male,high,lose_weight,23.4,beginner,True
154,21,male,low,lose_weight,22.3,beginner,False
155,29,female,high,stay_fit,21.5,beginner,True
156,29,male,medium,gain_muscle,31.3,intermediate,True
157,20,female,medium,stay_fit,20.8,beginner,True
158,23,female,low,stay_fit,18.5,beginner,True
159,21,male,low,gain_muscle,22.3,intermediate,True
160,25,female,medium,stay_fit,25.6,advanced,False
161,26,male,low,gain_muscle,24.3,advanced,False
162,19,male,medium,lose_weight,21.7,beginner,True
163,21,male,high,gain_muscle,24.6,beginner,True
164,45,male,low,stay_fit,27.3,intermediate,False
165,30,male,medium,stay_fit,24.6,intermediate,True
166,23,female,high,gain_muscle,24.5,intermediate,False
167,44,male,high,lose_weight,24.5,beginner,True
168,20,male,high,lose_weight,21.8,intermediate,True
169,28,male,high,lose_weight,25.3,beginner,False
170,17,male,medium,stay_fit,27.1,beginner,True
171,24,female,high,stay_fit,28.1,intermediate,False
172,34,male,high,stay_fit,25.3,intermediate,False
173,17,male,medium,stay_fit,24.0,beginner,True
174,37,male,medium,gain_muscle,29.6,beginner,False
175,19,male,medium,gain_muscle,24.4,intermediate,False
176,54,male,medium,gain_muscle,22.5,beginner,True
177,34,female,low,gain_muscle,21.9,beginner,True
178,38,male,medium,stay_fit,21.6,beginner,True
179,23,female,medium,lose_weight,22.5,beginner,True
180,18,male,medium,stay_fit,29.8,advanced,True
181,31,male,low,stay_fit,21.7,intermediate,False
182,29,male,medium,stay_fit,28.6,beginner,False
183,30,female,low,lose_weight,23.4,beginner,False
184,35,female,low,lose_weight,27.1,beginner,True
185,18,male,medium,lose_weight,20.8,intermediate,False
186,21,female,medium,stay_fit,23.9,beginner,True
187,17,female,low,stay_fit,19.2,advanced,False
188,31,male,medium,lose_weight,24.1,beginner,True
189,29,male,medium,lose_weight,26.4,advanced,False
190,21,male,medium,stay_fit,26.9,intermediate,False
191,16,male,medium,lose_weight,24.0,advanced,False
192,18,female,low,stay_fit,22.9,intermediate,False
193,19,female,medium,gain_muscle,24.3,beginner,False
194,42,male,high,stay_fit,22.3,intermediate,False
195,42,male,medium,gain_muscle,22.3,advanced,True
196,24,male,high,lose_weight,22.8,beginner,True
197,30,female,medium,lose_weight,24.7,advanced,True
198,33,female,medium,stay_fit,28.3,advanced,True
199,21,female,high,lose_weight,27.9,beginner,True
200,34,female,medium,gain_muscle,23.0,beginner,False
201,25,male,high,gain_muscle,21.6,beginner,False
202,37,male,medium,stay_fit,21.8,advanced,True
203,23,male,high,lose_weight,19.6,intermediate,True
204,28,female,medium,gain_muscle,26.2,intermediate,False
205,39,male,high,lose_weight,19.8,beginner,True
206,16,male,low,gain_muscle,17.2,beginner,True
207,23,male,medium,gain_muscle,26.2,intermediate,False
208,29,female,high,lose_weight,26.1,intermediate,True
209,24,male,low,stay_fit,20.8,intermediate,True
210,31,male,medium,lose_weight,24.9,intermediate,False
211,19,male,high,gain_muscle,20.0,intermediate,False
212,16,female,low,gain_muscle,23.7,beginner,True
213,19,female,medium,gain_muscle,25.1,intermediate,False
214,24,male,medium,lose_weight,26.1,advanced,False
215,33,female,medium,stay_fit,25.2,beginner,True
216,21,male,low,lose_weight,18.3,beginner,False
217,18,male,low,stay_fit,24.9,beginner,True
218,25,female,low,lose_weight,30.5,beginner,False
219,51,male,low,gain_muscle,25.2,beginner,True
220,28,female,low,stay_fit,19.8,beginner,False
221,43,female,medium,lose_weight,21.9,intermediate,True
222,37,male,medium,lose_weight,22.5,advanced,True
223,19,male,medium,lose_weight,17.0,beginner,True
224,21,male,low,stay_fit,24.3,beginner,False
225,26,male,medium,lose_weight,22.9,advanced,True
226,25,male,medium,stay_fit,23.1,advanced,False
227,24,female,high,lose_weight,23.6,advanced,True
228,35,male,medium,gain_muscle,21.8,intermediate,True
229,24,female,high,gain_muscle,26.6,intermediate,False
230,21,male,low,lose_weight,24.6,intermediate,True
231,23,female,medium,gain_muscle,22.4,beginner,False
232,18,male,medium,gain_muscle,25.3,beginner,False
233,17,male,high,stay_fit,25.1,beginner,True
234,27,male,medium,gain_muscle,21.1,advanced,False
235,38,male,medium,stay_fit,23.5,beginner,True
236,22,female,low,stay_fit,23.5,beginner,True
237,17,male,medium,lose_weight,22.2,beginner,True
238,19,male,low,gain_muscle,19.9,beginner,False
239,27,male,low,lose_weight,22.2,beginner,True
240,31,male,low,lose_weight,27.8,beginner,False
241,37,female,high,stay_fit,22.1,intermediate,False
242,21,female,medium,gain_muscle,26.7,beginner,False
243,41,female,high,gain_muscle,23.9,beginner,False
244,21,male,high,stay_fit,24.5,intermediate,True
245,33,male,high,lose_weight,20.3,advanced,True
246,17,female,high,gain_muscle,27.5,beginner,False
247,17,male,high,gain_muscle,30.2,intermediate,True
248,35,female,low,lose_weight,21.9,intermediate,False
249,25,female,low,stay_fit,27.9,advanced,False
250,19,female,medium,lose_weight,20.2,beginner,True
251,51,male,medium,gain_muscle,23.8,intermediate,False
252,24,male,low,stay_fit,20.5,intermediate,True
253,38,female,medium,gain_muscle,25.1,beginner,False
254,29,male,medium,lose_weight,23.4,beginner,False
255,35,male,high,lose_weight,23.8,intermediate,False
256,20,male,medium,lose_weight,27.9,beginner,False
257,16,female,medium,stay_fit,27.7,intermediate,False
258,20,female,medium,lose_weight,23.5,advanced,False
259,16,male,medium,lose_weight,27.3,intermediate,True
260,27,male,high,stay_fit,27.5,intermediate,True
261,21,male,low,lose_weight,27.3,intermediate,True
262,40,female,medium,gain_muscle,24.4,beginner,False
263,29,male,medium,gain_muscle,25.0,beginner,True
264,16,male,medium,lose_weight,23.1,intermediate,False
265,25,female,low,gain_muscle,31.0,intermediate,False
266,25,female,low,lose_weight,25.2,beginner,False
267,24,female,low,stay_fit,23.8,intermediate,False
268,31,female,medium,lose_weight,25.5,advanced,True
269,33,male,high,lose_weight,24.8,advanced,False
270,16,male,medium,gain_muscle,30.2,intermediate,False
271,31,female,low,lose_weight,23.9,beginner,True
272,52,female,medium,stay_fit,26.3,beginner,False
273,21,female,low,lose_weight,23.6,advanced,False
274,34,female,high,lose_weight,18.9,intermediate,False
275,23,male,medium,lose_weight,24.0,intermediate,False
276,17,male,high,lose_weight,26.6,beginner,False
277,32,female,medium,lose_weight,24.4,intermediate,True
278,50,male,high,gain_muscle,20.5,advanced,False
279,35,female,low,stay_fit,28.8,beginner,False
280,33,female,low,lose_weight,20.4,advanced,False
281,44,female,low,lose_weight,21.7,intermediate,False
282,32,male,medium,stay_fit,20.6,beginner,True
283,37,male,medium,lose_weight,20.9,intermediate,False
284,38,male,medium,lose_weight,24.1,intermediate,True
285,54,male,high,gain_muscle,25.8,intermediate,True
286,16,male,low,gain_muscle,22.2,intermediate,True
287,18,male,medium,lose_weight,25.7,beginner,False
288,44,male,high,gain_muscle,26.3,intermediate,True
289,48,male,medium,gain_muscle,23.0,beginner,False
290,20,male,high,gain_muscle,19.5,beginner,False
291,17,male,medium,gain_muscle,28.5,intermediate,False
292,30,male,medium,gain_muscle,22.0,intermediate,True
293,42,female,low,lose_weight,17.4,advanced,False
294,25,male,high,lose_weight,22.8,intermediate,True
295,40,male,high,lose_weight,25.8,beginner,False
296,35,male,high,stay_fit,26.2,intermediate,True
297,33,female,medium,gain_muscle,20.6,beginner,True
298,30,male,high,stay_fit,18.5,beginner,False
299,19,male,medium,stay_fit,24.9,beginner,False
300,36,male,medium,stay_fit,25.6,intermediate,True
301,42,male,high,gain_muscle,27.4,intermediate,False
302,40,male,low,gain_muscle,27.0,beginner,False
303,22,male,low,lose_weight,24.4,advanced,False
304,27,male,medium,stay_fit,21.2,intermediate,False
305,17,female,medium,gain_muscle,22.6,beginner,True
306,33,female,medium,lose_weight,23.3,intermediate,True
307,42,male,medium,lose_weight,21.3,advanced,True
308,33,male,high,stay_fit,27.2,intermediate,False
309,20,female,medium,lose_weight,27.1,intermediate,True
310,18,male,low,lose_weight,19.8,beginner,False
311,30,male,medium,gain_muscle,23.0,intermediate,True
312,41,male,high,stay_fit,30.2,beginner,True
313,32,male,low,gain_muscle,27.5,advanced,False
314,23,female,medium,stay_fit,24.6,beginner,False
315,21,female,low,stay_fit,27.3,advanced,False
316,47,female,medium,stay_fit,28.9,intermediate,False
317,19,male,low,gain_muscle,24.3,advanced,False
318,23,male,medium,gain_muscle,19.9,intermediate,False
319,20,male,medium,lose_weight,26.6,beginner,True
320,22,male,high,lose_weight,26.7,intermediate,True
321,35,male,medium,gain_muscle,21.0,beginner,False
322,16,female,high,lose_weight,24.8,advanced,True
323,17,female,medium,gain_muscle,21.6,beginner,False
324,25,male,low,lose_weight,19.1,beginner,True
325,33,female,low,lose_weight,24.7,intermediate,True
326,23,female,high,stay_fit,28.4,beginner,False
327,39,male,medium,gain_muscle,25.0,beginner,False
328,16,male,high,gain_muscle,24.5,advanced,False
329,23,male,low,gain_muscle,20.0,beginner,True
330,19,male,low,gain_muscle,25.9,beginner,False
331,52,male,medium,lose_weight,22.3,beginner,True
332,45,female,medium,gain_muscle,21.7,beginner,True
333,43,male,low,gain_muscle,26.6,beginner,False
334,34,male,medium,lose_weight,20.4,beginner,False
335,17,male,medium,lose_weight,23.4,intermediate,True
336,41,male,medium,gain_muscle,20.6,advanced,False
337,16,female,low,lose_weight,23.1,beginner,False
338,28,female,medium,stay_fit,17.4,advanced,True
339,52,male,medium,stay_fit,25.6,beginner,False
340,16,male,medium,lose_weight,25.2,intermediate,False
341,19,male,medium,gain_muscle,30.5,beginner,False
342,44,male,high,stay_fit,24.7,advanced,False
343,26,male,medium,stay_fit,21.3,advanced,False
344,20,male,high,lose_weight,27.0,intermediate,False
345,23,male,medium,lose_weight,26.9,beginner,False
346,29,male,low,lose_weight,27.9,beginner,False
347,49,male,medium,gain_muscle,18.1,advanced,False
348,19,male,medium,lose_weight,21.9,beginner,False
349,21,male,medium,gain_muscle,21.3,beginner,False
350,25,male,medium,stay_fit,28.6,beginner,False
351,35,male,low,stay_fit,26.4,beginner,True
352,36,female,medium,lose_weight,27.4,beginner,True
353,26,female,medium,lose_weight,20.7,intermediate,True
354,17,male,medium,stay_fit,24.4,intermediate,False
355,36,male,medium,lose_weight,19.1,advanced,False
356,40,male,high,stay_fit,20.7,beginner,False
357,33,male,medium,lose_weight,24.4,intermediate,True
358,47,male,low,stay_fit,24.7,intermediate,True
359,27,female,high,gain_muscle,25.2,advanced,False
360,29,male,low,lose_weight,22.0,advanced,False
361,47,male,medium,gain_muscle,25.3,intermediate,False
362,55,male,low,stay_fit,24.0,beginner,True
363,39,male,low,lose_weight,28.7,advanced,False
364,16,male,low,lose_weight,22.7,beginner,True
365,27,female,medium,gain_muscle,18.5,intermediate,True
366,55,male,low,stay_fit,25.9,beginner,True
367,34,female,low,lose_weight,25.0,intermediate,False
368,28,female,medium,lose_weight,21.3,advanced,True
369,32,male,medium,lose_weight,23.0,intermediate,False
370,28,male,high,lose_weight,24.6,beginner,True
371,29,male,high,lose_weight,22.9,beginner,False
372,44,male,medium,gain_muscle,20.7,advanced,False
373,34,male,high,gain_muscle,23.4,beginner,True
374,22,female,medium,stay_fit,26.7,intermediate,False
375,17,male,medium,gain_muscle,22.9,intermediate,False
376,41,male,medium,lose_weight,24.6,advanced,False
377,16,female,low,stay_fit,23.5,advanced,True
378,21,male,medium,gain_muscle,20.3,beginner,True
379,32,female,medium,stay_fit,23.7,beginner,False
380,24,male,low,gain_muscle,22.7,beginner,False
381,22,male,low,lose_weight,26.3,beginner,False
382,22,female,low,gain_muscle,27.7,intermediate,False
383,42,male,high,lose_weight,26.6,beginner,True
384,37,female,high,stay_fit,21.8,advanced,True
385,21,female,medium,stay_fit,20.5,beginner,False
386,53,female,low,stay_fit,19.5,advanced,False
387,30,male,low,gain_muscle,24.5,intermediate,False
388,31,male,high,lose_weight,21.9,beginner,False
389,32,female,low,gain_muscle,20.7,intermediate,False
390,52,female,high,gain_muscle,29.9,beginner,True
391,36,female,medium,lose_weight,25.5,intermediate,False
392,52,male,high,gain_muscle,25.0,intermediate,True
393,34,male,medium,stay_fit,24.9,intermediate,False
394,42,female,medium,lose_weight,28.9,beginner,False
395,48,male,medium,lose_weight,23.5,advanced,False
396,30,female,high,stay_fit,25.9,beginner,True
397,18,female,high,lose_weight,26.7,beginner,True
398,26,male,medium,lose_weight,29.6,intermediate,False
399,26,female,medium,gain_muscle,24.0,intermediate,False
400,22,female,high,gain_muscle,27.7,beginner,True
401,23,male,high,stay_fit,18.5,intermediate,True
402,25,female,medium,lose_weight,30.4,intermediate,False
403,24,male,low,stay_fit,25.3,intermediate,False
404,32,female,low,lose_weight,26.3,advanced,False
405,17,male,high,gain_muscle,20.1,intermediate,True
406,23,female,low,lose_weight,20.0,beginner,False
407,43,male,low,gain_muscle,22.1,intermediate,False
408,24,male,low,stay_fit,24.1,advanced,True
409,17,female,medium,lose_weight,23.2,beginner,False
410,19,male,medium,lose_weight,22.8,beginner,False
411,36,male,low,gain_muscle,23.4,beginner,False
412,26,female,low,gain_muscle,17.0,beginner,False
413,20,female,medium,lose_weight,25.3,intermediate,False
414,25,male,high,stay_fit,23.5,intermediate,False
415,16,male,low,gain_muscle,26.9,beginner,False
416,18,male,low,lose_weight,22.6,beginner,False
417,21,male,medium,stay_fit,22.9,advanced,False
418,24,male,high,lose_weight,24.5,beginner,True
419,17,female,medium,stay_fit,26.1,beginner,False
420,23,female,medium,lose_weight,27.5,beginner,True
421,18,female,high,lose_weight,23.9,beginner,True
422,36,female,low,gain_muscle,25.3,beginner,True
423,27,male,low,gain_muscle,24.1,beginner,False
424,21,male,medium,gain_muscle,23.1,advanced,False
425,20,male,high,lose_weight,18.2,intermediate,False
426,17,male,medium,lose_weight,24.6,advanced,False
427,37,male,high,gain_muscle,21.3,beginner,False
428,22,female,medium,stay_fit,26.6,intermediate,False
429,37,male,medium,gain_muscle,21.4,advanced,False
430,55,male,low,lose_weight,22.3,beginner,True
431,29,male,low,gain_muscle,21.5,beginner,False
432,19,female,medium,gain_muscle,25.6,intermediate,True
433,31,male,low,lose_weight,23.1,beginner,False
434,24,male,low,gain_muscle,25.7,advanced,False
435,31,male,high,gain_muscle,16.0,beginner,False
436,36,female,high,lose_weight,30.0,advanced,False
437,32,male,low,gain_muscle,21.0,beginner,True
438,31,female,medium,gain_muscle,26.3,beginner,False
439,30,female,low,stay_fit,25.5,beginner,True
440,20,male,low,gain_muscle,26.1,beginner,False
441,35,male,medium,gain_muscle,21.5,beginner,False
442,24,female,medium,lose_weight,23.0,beginner,False
443,31,male,low,gain_muscle,25.2,beginner,False
444,20,male,medium,lose_weight,24.0,intermediate,True
445,32,female,low,lose_weight,21.3,intermediate,False
446,24,female,high,lose_weight,25.7,intermediate,True
447,20,female,medium,gain_muscle,30.9,beginner,True
448,17,female,medium,gain_muscle,22.7,advanced,False
449,47,male,low,stay_fit,25.5,beginner,False
450,16,male,medium,gain_muscle,24.7,beginner,False
451,17,female,medium,gain_muscle,22.9,beginner,False
452,17,male,high,lose_weight,26.4,advanced,True
453,47,male,low,stay_fit,26.4,beginner,True
454,51,female,high,lose_weight,22.4,advanced,False
455,52,male,medium,gain_muscle,28.3,advanced,True
456,31,male,low,lose_weight,24.0,beginner,True
457,49,male,medium,stay_fit,27.2,intermediate,True
458,23,male,medium,gain_muscle,25.0,intermediate,True
459,47,male,high,stay_fit,24.1,intermediate,True
460,19,male,medium,lose_weight,24.0,beginner,False
461,20,male,medium,gain_muscle,26.0,intermediate,True
462,32,male,low,gain_muscle,20.7,beginner,False
463,45,female,low,lose_weight,25.1,beginner,True
464,20,male,medium,lose_weight,27.9,advanced,True
465,45,female,medium,lose_weight,25.5,beginner,True
466,42,male,medium,gain_muscle,18.8,beginner,False
467,17,male,low,lose_weight,19.9,beginner,False
468,51,female,low,lose_weight,24.1,beginner,True
469,36,male,medium,lose_weight,21.6,intermediate,True
470,27,female,high,gain_muscle,26.7,advanced,True
471,19,male,medium,lose_weight,22.6,intermediate,True
472,30,female,medium,stay_fit,25.7,intermediate,True
473,32,male,medium,lose_weight,29.8,beginner,False
474,24,female,low,lose_weight,24.1,beginner,False
475,32,male,medium,gain_muscle,21.0,intermediate,True
476,33,female,medium,stay_fit,25.2,beginner,False
477,25,male,high,stay_fit,24.8,intermediate,False
478,17,male,medium,lose_weight,24.8,advanced,False
479,19,female,low,lose_weight,28.1,intermediate,False
480,22,male,medium,gain_muscle,20.4,advanced,False
481,16,male,medium,lose_weight,27.0,advanced,False
482,18,female,low,gain_muscle,22.2,beginner,True
483,43,male,high,gain_muscle,28.1,intermediate,False
484,44,male,high,gain_muscle,17.6,intermediate,True
485,21,male,medium,stay_fit,30.7,intermediate,True
486,36,female,medium,lose_weight,23.2,intermediate,True
487,33,male,medium,gain_muscle,20.4,beginner,True
488,22,male,medium,gain_muscle,26.7,intermediate,False
489,26,female,low,gain_muscle,25.5,beginner,True
490,33,female,low,gain_muscle,25.4,beginner,True
491,40,male,low,stay_fit,26.8,beginner,False
492,17,male,medium,stay_fit,24.1,beginner,False
493,25,male,medium,gain_muscle,23.1,beginner,False
494,19,male,medium,gain_muscle,20.5,beginner,True
495,23,male,medium,gain_muscle,23.7,intermediate,True
496,19,male,medium,stay_fit,22.5,beginner,False
497,45,male,medium,lose_weight,24.0,intermediate,False
498,26,male,medium,gain_muscle,24.3,beginner,False
499,17,female,medium,gain_muscle,29.2,advanced,True
500,29,female,medium,gain_muscle,21.8,beginner,True
501,29,female,high,lose_weight,23.6,beginner,False
502,33,male,medium,gain_muscle,22.7,beginner,False
503,26,male,low,gain_muscle,19.8,intermediate,False
504,35,female,high,lose_weight,32.7,beginner,False
505,20,female,medium,gain_muscle,21.2,intermediate,False
506,29,male,low,gain_muscle,25.1,intermediate,False
507,54,female,low,stay_fit,29.1,intermediate,True
508,17,female,medium,lose_weight,20.3,advanced,True
509,20,female,medium,lose_weight,26.6,intermediate,False
510,33,female,medium,lose_weight,19.4,beginner,False
511,20,male,low,stay_fit,21.6,beginner,False
512,19,male,medium,stay_fit,25.7,beginner,True
513,18,female,low,gain_muscle,23.2,beginner,False
514,29,female,low,lose_weight,28.4,intermediate,False
515,18,male,medium,gain_muscle,24.4,beginner,True
516,16,male,medium,stay_fit,25.6,intermediate,False
517,25,male,medium,stay_fit,21.9,intermediate,False
518,28,female,high,lose_weight,20.9,beginner,True
519,16,female,low,stay_fit,20.5,advanced,True
520,16,male,low,lose_weight,21.2,advanced,True
521,25,male,low,lose_weight,21.9,beginner,True
522,22,male,medium,stay_fit,27.5,intermediate,True
523,36,female,medium,gain_muscle,25.2,intermediate,False
524,28,female,medium,stay_fit,20.2,beginner,True
525,33,female,medium,stay_fit,22.8,beginner,True
526,34,male,medium,gain_muscle,23.9,intermediate,False
527,35,male,medium,lose_weight,32.8,advanced,False
528,35,male,medium,gain_muscle,24.0,intermediate,False
529,18,male,medium,gain_muscle,25.4,beginner,False
530,27,female,low,stay_fit,21.0,beginner,True
531,24,female,medium,gain_muscle,26.2,beginner,True
532,19,female,medium,stay_fit,28.1,beginner,True
533,17,female,low,stay_fit,23.5,beginner,True
534,39,male,medium,stay_fit,25.8,beginner,True
535,41,female,high,stay_fit,25.7,beginner,True
536,25,female,low,gain_muscle,24.2,advanced,True
537,17,female,low,gain_muscle,27.9,advanced,True
538,31,male,medium,stay_fit,21.6,beginner,False
539,26,male,medium,gain_muscle,21.4,intermediate,True
540,28,male,low,stay_fit,24.0,beginner,False
541,21,female,high,gain_muscle,22.9,intermediate,True
542,18,male,medium,gain_muscle,15.3,beginner,False
543,26,male,high,gain_muscle,21.8,beginner,True
544,25,female,medium,stay_fit,17.6,beginner,True
545,32,male,high,gain_muscle,23.0,intermediate,True
546,34,male,medium,lose_weight,26.1,beginner,False
547,33,male,low,lose_weight,24.2,beginner,True
548,24,female,high,gain_muscle,24.4,intermediate,False
549,22,male,low,lose_weight,23.5,beginner,False
550,27,female,high,gain_muscle,24.6,beginner,False
551,17,male,medium,stay_fit,32.5,intermediate,True
552,23,female,high,stay_fit,22.9,beginner,True
553,22,male,medium,gain_muscle,24.0,intermediate,False
